Type,Prix,Adresse,Image_lien
vetements-enfants,7 000CFA,Colobane/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5214595_uploaded_image1_1741112064.jpg
vetements-enfants,15 000CFA,Ngor/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg
vetements-enfants,15 000CFA,Parcelle Assainies/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg
vetements-enfants,7 000CFA,Parcelle Assainies/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg
vetements-enfants,10 000CFA,Dieuppeul-Derkle/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg
vetements-enfants,5 000CFA,Sicap Liberte/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg
vetements-enfants,8 500CFA,Fass/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg
vetements-enfants,Prix sur demande,Ouakam/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5225588_uploaded_image1_1741658299.jpg
vetements-enfants,Prix sur demande,Ouakam/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5225585_uploaded_image1_1741658034.jpg
vetements-enfants,Prix sur demande,Ouakam/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5225584_uploaded_image1_1741657625.jpg
vetements-enfants,6 500CFA,Colobane/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg
vetements-enfants,10 000CFA,Fass/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg
vetements-enfants,8 000CFA,Parcelle Assainies/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg
vetements-enfants,8 000CFA,Dakar Plateau/ Dakar/ Senegal,https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg
